번호,급,지역,기관명,홈페이지,설립,주소
98,고등학교,나주시,전남외국어고등학교,https://jeonnam-fh.hs.jne.kr/,공립,전라남도 나주시 영나로 2434 . 전남외국어고등학교 (용산동)
99,고등학교,나주시,호남원예고등학교,https://honamh.hs.jne.kr,공립,전라남도 나주시 금천면 영산로 5691 . 호남원예고등학교 (금천면)
100,고등학교,구례군,전남자연과학고등학교,https://jns.hs.jne.kr,공립,전라남도 구례군 구례읍 구례로 409 (구례읍)
101,고등학교,강진군,전남생명과학고등학교,https://jn-life.hs.jne.kr,공립,전라남도 강진군 강진읍 교촌길 23 (강진읍.전남생명과학고등학교)
102,고등학교,장흥군,한국말산업고등학교,https://korhorse.hs.jne.kr,공립,전라남도 장흥군 대덕읍 도청신월로 155 (대덕읍)
103,고등학교,목포시,목포공업고등학교,https://mokpo-mt.hs.jne.kr,공립,전라남도 목포시 용당로 100 (용당동. 목포공업고등학교)
104,고등학교,순천시,순천공업고등학교,https://sungong.hs.jne.kr,공립,전라남도 순천시 유동길 50 (조례동. 순천공업고등학교)
105,고등학교,담양군,담양공업고등학교,https://damyang-t.hs.jne.kr,공립,전라남도 담양군 담양읍 죽향대로 1072 (담양읍)
106,고등학교,해남군,해남공업고등학교,https://haenam-tech.hs.jne.kr,공립,전라남도 해남군 해남읍 남외2길 7 . 해남공업고등학교 (해남읍)
107,고등학교,영암군,구림공업고등학교,https://gurim-tech.hs.jne.kr/,공립,전라남도 영암군 군서면 왕인로 453 (군서면. 구림공고)
108,고등학교,영암군,전남에너지고등학교,https://jnenergy.hs.jne.kr,공립,전라남도 영암군 신북면 황금동로 16-13 (신북면)
109,고등학교,영광군,영광전자고등학교,https://ykelec.hs.jne.kr,공립,전라남도 영광군 염산면 칠산로 98-27 (봉남리)
110,고등학교,고흥군,고흥도화고등학교,https://ghdohwa.hs.jne.kr/,공립,전라남도 고흥군 도화면 도화로 476 (도화면.고흥도화고등학교)
111,고등학교,순천시,순천미래과학고등학교,https://scfuture.hs.jne.kr,공립,전라남도 순천시 서면 순천로 86 (서면. 순천전자고등학교) 107
112,고등학교,여수시,여수석유화학고등학교,https://yspetchem.hs.jne.kr,공립,전라남도 여수시 대통1길 45 . (화장동. 여수석유화학고등학교) (화장동)
113,고등학교,장흥군,전남미래자동차고등학교,https://jeongnamjin.hs.jne.kr,공립,전라남도 장흥군 장흥읍 행원강변길 . 8 (장흥읍)
114,고등학교,여수시,여수공업고등학교,https://yeosu-th.hs.jne.kr,사립,전라남도 여수시 군자길 75 (군자동)
115,고등학교,나주시,나주공업고등학교,https://naju-tech.hs.jne.kr,사립,전라남도 나주시 건재로 43 (대호동.나주공업고등학교)
116,고등학교,광양시,한국항만물류고등학교,https://kpl.hs.jne.kr,공립,전라남도 광양시 진상면 신시길 177 . 한국항만물류고등학교 (진상면)
117,고등학교,나주시,나주상업고등학교,https://njc.hs.jne.kr,공립,전라남도 나주시 함박산길 23-4 (청동.나주상업고)
118,고등학교,강진군,병영상업고등학교,https://joyschool.hs.jne.kr,공립,전라남도 강진군 병영면 하멜로 372 (병영면. 병영중고등학교)
119,고등학교,영광군,법성고등학교,https://bubsung.hs.jne.kr,공립,전라남도 영광군 법성면 용덕로 66 (법성면)
120,고등학교,해남군,송지고등학교,https://songji.hs.jne.kr,공립,전라남도 해남군 송지면 미야길 158-16 (송지면)
121,고등학교,장성군,삼계부사관고등학교,https://samgye.hs.jne.kr,공립,전라남도 장성군 삼계면 사창로 47 (삼계면)
122,고등학교,신안군,안좌고등학교,https://anjwa.hs.jne.kr,공립,전라남도 신안군 안좌면 중부로 790-7 (안좌면)
123,고등학교,신안군,신안해양과학고등학교,https://shinanmarine.hs.jne.kr,공립,전라남도 신안군 압해읍 구항길 41 . 신안해양과학고등학교 (압해읍. 신안해양과학고등학교)
124,고등학교,여수시,여수해양과학고등학교,https://ym-s.hs.jne.kr,공립,전라남도 여수시 돌산읍 돌산로 1201-18 . 여수해양과학고등학교 (돌산읍)
125,고등학교,완도군,완도수산고등학교,https://wandosugo.hs.jne.kr,공립,전라남도 완도군 완도읍 장보고대로 141 . 완도수산고등학교 (완도읍)
126,고등학교,곡성군,전남조리과학고등학교,https://jcas.hs.jne.kr,공립,전라남도 곡성군 곡성읍 학교로 71 (곡성읍)
127,고등학교,나주시,전남미용고등학교,https://jn-beauty.hs.jne.kr,공립,전라남도 나주시 영산포로 182-9 (영산동.전남미용고등학교)
128,고등학교,보성군,벌교상업고등학교,https://beolgyoc.hs.jne.kr,공립,전라남도 보성군 벌교읍 홍암로 61 벌교상업고등학교
129,고등학교,광양시,광양하이텍고등학교,https://gyh.hs.jne.kr,공립,전라남도 광양시 광양읍 신재로 106 (광양읍)
130,고등학교,영광군,영광공업고등학교,https://yeongkwang.hs.jne.kr,공립,전라남도 영광군 영광읍 월현로 34 . 영광공업고등학교 (영광읍)
131,고등학교,장성군,장성하이텍고등학교,https://jangseongv.hs.jne.kr,공립,전라남도 장성군 장성읍 단풍로 72 (장성읍)
132,고등학교,보성군,다향고등학교,https://dahyangv.hs.jne.kr,공립,전라남도 보성군 보성읍 녹차로 1364 (보성읍)
133,고등학교,화순군,전남기술과학고등학교,https://jts.hs.jne.kr,공립,전라남도 화순군 화순읍 만연로 160-25 . 전남기술과학고등학교 (화순읍. 전남기술과학고등학교)
134,고등학교,진도군,진도실업고등학교,https://jindosilgo.hs.jne.kr,공립,전라남도 진도군 진도읍 교동3길 10 (진도읍.진도실업고등학교)
135,고등학교,목포시,목포여자상업고등학교,https://mpgch.hs.jne.kr,사립,전라남도 목포시 영산로 413-3 (상동)
136,고등학교,목포시,목포성신고등학교,https://mpss.hs.jne.kr/,사립,전라남도 목포시 상동로 87-1 . 목포성신고등학교 (상동)
137,고등학교,여수시,여수정보과학고등학교,https://yosuis.hs.jne.kr,사립,전라남도 여수시 여문2로 148 (문수동. 여수정보과학고등학교)
138,고등학교,여수시,진성여자고등학교,https://jsg.hs.jne.kr,사립,전라남도 여수시 봉강서4길 3 (봉강동)
139,고등학교,순천시,순천효산고등학교,https://hyosan.hs.jne.kr,사립,전라남도 순천시 삼산로 104 (용당동)
140,고등학교,순천시,순천청암고등학교,https://sca.hs.jne.kr,사립,전라남도 순천시 녹색로 1641-1 . 순천청암고등학교 (덕월동)
141,고등학교,목포시,목포중앙고등학교,https://mokpojoongang.hs.jne.kr,사립,전라남도 목포시 지적로 36 (대양동)
142,고등학교,함평군,전남보건고등학교,https://jnmds.hs.jne.kr,공립,전라남도 함평군 월야면 문화로 685-18 (월야면.전남보건고등학교)
143,고등학교,고흥군,고흥산업과학고등학교,https://goheungv.hs.jne.kr,공립,전라남도 고흥군 고흥읍 고흥로 1637-13 (고흥읍.고흥산업과학고등학교)
